gutenberg-11	Then I’ll go round and get in at the window
gutenberg-11	That_ you won’t
gutenberg-11	Where are you
gutenberg-11	Sure then I’m here
gutenberg-11	Digging for apples, yer honour
gutenberg-11	Digging for apples, indeed
gutenberg-11	Come and help me out of _this
gutenberg-11	Now tell me, Pat, what’s that in the window
gutenberg-11	Sure, it’s an arm, yer honour
gutenberg-11	An arm, you goose
gutenberg-11	Who ever saw one that size
gutenberg-11	Why, it fills the whole window
gutenberg-11	Sure, it does, yer honour: but it’s an arm for all that
gutenberg-11	Well, it’s got no business there, at any rate: go and take it away
gutenberg-11	Sure, I don’t like it, yer honour, at all, at all
gutenberg-11	Do as I tell you, you coward
gutenberg-11	What a number of cucumber-frames there must be
gutenberg-11	I wonder what they’ll do next
gutenberg-11	As for pulling me out of the window, I only wish they _could
gutenberg-11	I’m sure _I_ don’t want to stay in here any longer
gutenberg-11	Where’s the other ladder
gutenberg-11	Why, I hadn’t to bring but one
gutenberg-11	Bill’s got the other—Bill
gutenberg-11	fetch it here, lad
gutenberg-11	Here, put ’em up at this corner—No, tie ’em together first—they don’t reach half high enough yet—Oh
gutenberg-11	they’ll do well enough
gutenberg-11	don’t be particular—Here, Bill
gutenberg-11	catch hold of this rope—Will the roof bear
gutenberg-11	Mind that loose slate—Oh, it’s coming down
gutenberg-11	Now, who did that
gutenberg-11	It was Bill, I fancy—Who’s to go down the chimney
gutenberg-11	Nay, _I_ shan’t
gutenberg-11	You_ do it
gutenberg-11	That_ I won’t, then
gutenberg-11	Bill’s to go down—Here, Bill
gutenberg-11	the master says you’re to go down the chimney
gutenberg-11	So Bill’s got to come down the chimney, has he
gutenberg-11	Shy, they seem to put everything upon Bill
gutenberg-11	I wouldn’t be in Bill’s place for a good deal: this fireplace is narrow, to be sure
gutenberg-11	but I _think_ I can kick a little
gutenberg-11	This is Bill
gutenberg-11	There goes Bill
gutenberg-11	Catch him, you by the hedge
gutenberg-11	Hold up his head—Brandy now—Don’t choke him—How was it, old fellow
gutenberg-11	What happened to you
gutenberg-11	Tell us all about it
gutenberg-11	Well, I hardly know—No more, thank ye
gutenberg-11	So you did, old fellow
gutenberg-11	We must burn the house down
gutenberg-11	If you do, I’ll set Dinah at you
gutenberg-11	I wonder what they _will_ do next
gutenberg-11	If they had any sense, they’d take the roof off
gutenberg-11	A barrowful will do, to begin with
gutenberg-11	A barrowful of _what
gutenberg-11	I’ll put a stop to this
gutenberg-11	You’d better not do that again
gutenberg-11	If I eat one of these cakes
gutenberg-11	it’s sure to make _some_ change in my size
gutenberg-11	and as it can’t possibly make me larger, it must make me smaller, I suppose
gutenberg-11	The first thing I’ve got to do
gutenberg-11	is to grow to my right size again
gutenberg-11	and the second thing is to find my way into that lovely garden
gutenberg-11	I think that will be the best plan
gutenberg-11	Poor little thing
gutenberg-11	And yet what a dear little puppy it was
gutenberg-11	I’d nearly forgotten that I’ve got to grow up again
gutenberg-11	Let me see—how _is_ it to be managed
gutenberg-11	I suppose I ought to eat or drink something or other
gutenberg-11	but the great question is, what
gutenberg-11	Who are _you
gutenberg-11	What do you mean by that
gutenberg-11	I can’t explain _myself_, I’m afraid, sir
gutenberg-11	because I’m not myself, you see
gutenberg-11	I don’t see
gutenberg-11	I’m afraid I can’t put it more clearly
gutenberg-11	for I can’t understand it myself to begin with
gutenberg-11	and being so many different sizes in a day is very confusing
gutenberg-11	Well, perhaps you haven’t found it so yet
gutenberg-11	Not a bit
gutenberg-11	Well, perhaps your feelings may be different
gutenberg-11	all I know is, it would feel very queer to _me
gutenberg-11	I think, you ought to tell me who _you_ are, first
gutenberg-11	I’ve something important to say
gutenberg-11	Keep your temper
gutenberg-11	Is that all
gutenberg-11	So you think you’re changed, do you
gutenberg-11	I’m afraid I am, sir
gutenberg-11	I can’t remember things as I used—and I don’t keep the same size for ten minutes together
gutenberg-11	Can’t remember _what_ things
gutenberg-11	Well, I’ve tried to say “How doth the little busy bee
gutenberg-11	Repeat, ‘_You are old, Father William
gutenberg-11	You are old, Father William
gutenberg-11	And your hair has become very white
gutenberg-11	And yet you incessantly stand on your head— Do you think, at your age, it is right
gutenberg-11	In my youth
gutenberg-11	I feared it might injure the brain
gutenberg-11	But, now that I’m perfectly sure I have none, Why, I do it again and again
gutenberg-11	You are old
gutenberg-11	as I mentioned before, And have grown most uncommonly fat
gutenberg-11	Yet you turned a back-somersault in at the door— Pray, what is the reason of that
gutenberg-11	and your jaws are too weak For anything tougher than suet
gutenberg-11	I took to the law, And argued each case with my wife
gutenberg-11	And the muscular strength, which it gave to my jaw, Has lasted the rest of my life
gutenberg-11	one would hardly suppose That your eye was as steady as ever
gutenberg-11	Yet you balanced an eel on the end of your nose— What made you so awfully clever
gutenberg-11	I have answered three questions, and that is enough
gutenberg-11	don’t give yourself airs
gutenberg-11	Do you think I can listen all day to such stuff
gutenberg-11	Be off, or I’ll kick you down stairs
gutenberg-11	That is not said right
gutenberg-11	Not _quite_ right, I’m afraid
gutenberg-11	some of the words have got altered
gutenberg-11	It is wrong from beginning to end
gutenberg-11	What size do you want to be
gutenberg-11	Oh, I’m not particular as to size
gutenberg-11	only one doesn’t like changing so often, you know
